ID,target
0,"The answer is (C).

Huxley argued that ""life"" was a property of a certain kind of matter."
1,"(A)

Gibbon's quote highlights the decentralized nature of religious worship in ancient Rome, emphasizing the diversity of practices and beliefs within the society."
3,"(D)

The text describes the bias of the duke towards King Louis XIV. The duke supported the king's preservation of the aristocracy's social position and legal privileges while removing their power."
4,"(B)

The passage states that Clemenceau believed that the lyrics from the song Deutschland über alles were evidence of Germany's aggressive attitude."
5,"The answer is (C)

The passage describes a sense of continual class struggle in France. The writer is criticizing the French workers for their miserly ways and their hatred of the wealthy."
6,"The answer is (C).

The passage describes the wealth of Florence in terms of the monetary value of goods."
7,"Answer: (D)

The two excerpts describe the interactions between the Spaniards and the natives. The first excerpt describes Columbus's interactions with the natives, where he gave them gifts and tried to convert them to Christianity. The second excerpt describes the interactions between the Spaniards and the natives, where they killed and enslaved the natives. The two excerpts are written by different authors, so it is not surprising that they have different perspectives on the same events."
8,"The answer is (C).

The document describes the replacing of traditional laborers by machines in the industrialization of Britain in the eighteenth century."
9,"The answer is (A) Pride in the mastery of the military arts.

The text describes Florence, which is known for its beauty and its wealth. It also mentions the city's thriving wool and silk trade. Therefore, the text provides evidence for the existence of the Renaissance cultural characteristic of pride in the mastery of the military arts."
12,"The answer is (D).

The text describes the radical movement known as anarchism, which is not related to the Paris Commune."
13,"The answer is (C) Industrialization.

Source 1 is referencing industrialization. Industrialization is the process of rapid technological change that characterized the transition of human societies from agrarian to industrial economies."
14,"The answer is (D).

Marx and Engels are explaining the reasons for debunking opponents of communism."
16,"The answer is A.

Copernicus's argument for a spherical cosmos was based on observation and induction."
18,"The answer is (B) Financial gain.

De las Casas's main concern in Source 2 is financial gain. He emphasizes the Spaniards' motivations for exploiting the natives, which is primarily their desire for gold."
19,"The answer is (A).

The text states that ""For a long time, educated Germans answered it in the positive, initially by laying claim to a special German mission..."" Therefore, the answer is (A)."
20,"The answer is (A) Expertise with multiple languages.

Castiglione's text describes a Courtier who is well-versed in various skills, including strength, music, and writing. However, he does not mention language proficiency as one of the most important skills. Therefore, the answer is (A)."
21,"The answer is (A).

The passage describes the ideas of Pico della Mirandola, a Renaissance thinker."
23,"The answer is (B).

The passage states that Wiesel believed that the current generation of Germans had a responsibility to remember the Holocaust."
24,"The answer is D.

The Molotov-Ribbentrop Pact allowed both Germany and the Soviet Union to freely invade Poland."
25,"(C)

The method of empirical reasoning had been refined and changed by so many people that it had become unrecognizable to those such as Bacon who had pioneered it.

The passage describes the method of empirical reasoning as being refined and changed by so many people that it had become unrecognizable to those such as Bacon who had pioneered it."
26,"The answer is (A)

The text describes Napoleon's concerns about his reputation and power. It does not mention his placement of relatives on foreign thrones, therefore the answer is (A)."
27,"The answer is (A).

The passage states that Wiesel believed that remembering the Holocaust was necessary for the German people to become reconciled to their own history."
32,"The answer is D.

The text describes two excerpts from John Calvin's ""Institutes of Christian Religion."" In the first excerpt, Calvin emphasizes the corruption of humanity and the need for righteousness. In the second excerpt, he discusses the diversity of God's grace and the mystery of election.

Lutherans and Calvinists were two prominent Protestant reformers. While Lutherans emphasized the authority of Scripture and salvation through faith alone, Calvinists emphasized the doctrine of predestination and the sovereignty of God. Therefore, the biggest contrast between the ideas of Calvinists and Lutherans is their understanding of salvation and God's grace."
33,"The answer is (A).

The passage states that the Council of Ferrera laid the foundation for the Florentine Academy."
34,"The answer is (A).

The text describes the story of Candide, a character in Voltaire's novel ""Candide."" In this story, Candide's statement ""everything always happens for the best"" reflects the Enlightenment belief that the universe is governed by natural laws and that these laws are always working for the best."
35,"The answer is (A).

The Navigation Acts of 1651 were designed to prevent England's colonies from being bombarded with cheap goods manufactured by their mainland European competitors."
36,"The answer is (A).

The passage describes Morris's feelings about modern civilization and his decision to become a socialist. He is appalled by the great waste of resources and general misery caused by modern society. Therefore, he chose to become a socialist in order to bring about a more just and equitable society."
37,"The answer is (B) Financial gain.

De las Casas is criticizing the motive of financial gain in Source 2."
38,"The answer is (D).

The text describes Napoleon's intellectual prowess and the profound thoughts he expressed during his imprisonment and death. It does not mention any features of the French empire under Napoleon, therefore I cannot answer this question."
39,"The answer is (A) Nicolaus Copernicus.

Galileo Galilei was influenced by Nicolaus Copernicus' ideas about the heliocentric model of the universe."
40,"The answer is (A)

The text describes Voltaire's reaction to the 1755 Lisbon earthquake. He expressed his belief that nature is cruel and that human life is a gamble. He also questioned the ability of reason to understand the suffering of others. This aligns with Jean-Jacques Rousseau's ideas about the corruption of noble souls and his emphasis on emotion over reason."
41,"The answer is D.

The poem describes the attitude of the British towards the native peoples who were under their rule. The poem describes the natives as being ""half-devil and half-child"" and ""sulphur and heathen Folly."" This poem is describing the attitude of the British towards the native peoples, so the answer is D."
42,"The text describes the Navigation Acts of 1651, which restrict the import of goods from Asia, Africa, America, Europe, and other places.

The text conflicts with which economic philosopher's theories and beliefs? The answer is (C) Adam Smith.

The Navigation Acts restrict trade and limit the import of goods to those that are produced or manufactured within the Commonwealth. This is in contrast to Adam Smith's theory of free trade, which advocates for unimpeded trade between nations."
