ID,target
0,C
1,A
3,B
4,B
5,C
6,C
7,B
8,A
9,C
12,C
13,B
14,D
16,A
18,A
19,D
20,C
21,A
23,B
24,D
25,B
26,D
27,A
32,A
33,C
34,A
35,C
36,A
37,B
38,B
39,A
40,A
41,D
42,C
43,A
44,D
45,D
46,C
47,C
48,A
49,A
50,C
51,A
52,A
54,B
56,D
57,A
59,D
60,A
61,C
62,B
63,C
64,D
65,C
66,C
67,D
68,A
69,B
70,D
71,B
72,D
73,C
74,D
75,B
76,D
77,A
78,A
79,B
80,C
82,D
83,A
84,A
87,A
88,C
90,C
91,A
92,D
94,C
95,B
96,D
97,D
98,D
99,D
100,C
101,D
103,A
104,B
105,C
106,B
107,A
109,D
110,B
111,C
112,A
113,D
115,C
116,A
117,B
118,D
119,D
120,A
122,B
123,B
124,B
125,C
126,B
127,A
128,B
129,A
130,C
131,A
132,A
133,B
134,B
135,D
136,D
139,A
140,A
142,D
143,C
144,B
145,B
146,C
147,A
148,C
150,D
151,D
152,C
153,D
154,C
155,C
156,A
157,D
158,D
159,C
160,A
161,A
162,C
163,C
164,C
633,B
635,A
639,B
640,B
641,C
642,A
643,A
644,B
645,C
646,A
647,B
649,D
651,C
652,B
653,D
654,D
660,A
661,C
662,B
663,A
665,C
666,A
667,A
668,A
669,B
670,A
671,D
673,B
674,C
675,A
676,D
677,C
679,A
680,C
681,D
683,D
684,D
685,C
687,D
688,C
689,C
690,A
692,B
693,A
694,B
695,B
696,C
698,D
699,A
700,C
701,A
702,C
703,A
704,C
705,A
706,B
707,D
708,D
709,B
710,C
711,B
712,D
713,C
714,C
715,C
716,B
717,D
718,A
719,A
720,B
721,C
722,B
724,C
725,A
726,D
727,C
728,A
730,A
731,D
732,C
733,A
735,A
736,D
737,A
738,A
739,B
741,A
742,C
743,A
744,D
745,A
747,D
748,A
749,A
750,A
751,B
752,A
753,C
754,C
755,D
756,B
758,B
759,A
760,C
762,B
763,A
764,A
765,C
766,B
767,C
768,A
769,B
771,A
772,D
773,A
774,D
775,A
776,B
777,C
780,C
781,A
782,B
785,A
786,A
787,A
788,A
789,B
790,B
791,B
792,A
794,D
795,C
797,B
798,D
799,D
800,B
801,D
802,D
803,D
804,D
806,C
807,A
808,D
810,D
811,B
812,D
814,B
815,A
816,D
817,D
818,C
819,D
820,C
822,D
823,A
824,D
825,C
826,D
829,A
830,D
831,B
832,B
833,C
985,B
986,B
987,D
988,C
989,A
991,A
992,B
993,C
