ID,target
0,C
1,D
2,A
3,D
4,B
5,B
6,A
7,B
8,B
9,A
10,C
11,D
12,B
13,B
14,C
15,A
16,B
17,B
18,C
19,D
20,D
21,A
22,D
23,D
24,D
25,C
26,D
27,C
28,B
29,A
30,C
31,C
32,C
33,D
34,B
35,B
36,D
37,C
38,C
39,A
40,C
41,C
42,A
43,B
44,B
45,D
46,C
47,C
48,A
49,D
50,B
51,C
52,C
53,C
54,A
55,D
56,C
57,B
58,D
59,C
60,D
61,A
62,B
63,B
64,A
65,B
66,C
67,D
68,C
69,D
70,D
71,D
72,A
73,D
74,D
75,B
76,C
77,A
78,C
79,D
80,D
81,C
82,A
83,D
84,D
85,D
86,D
87,C
88,A
89,C
90,B
91,A
92,A
93,B
94,D
95,C
96,C
97,B
98,A
99,C
100,A
101,D
102,B
103,C
104,C
105,D
106,C
107,C
108,C
109,A
110,B
111,D
112,C
113,A
114,B
115,C
116,B
117,A
118,C
119,A
120,D
121,C
122,B
123,A
124,B
125,A
126,B
127,A
128,B
129,A
130,D
131,B
132,A
133,D
134,C
135,D
136,A
137,A
138,D
139,D
140,B
141,B
142,D
143,A
144,D
145,D
146,C
147,D
148,C
149,A
150,A
151,A
152,B
153,C
154,C
155,C
156,A
157,A
158,D
159,D
160,C
161,D
162,C
163,C
164,A
165,D
166,B
167,A
168,A
169,A
170,D
171,C
172,A
173,A
174,B
175,D
176,C
177,A
178,C
179,C
180,A
181,B
182,B
183,D
184,B
185,B
186,B
187,C
188,A
189,D
190,A
191,B
192,B
193,A
194,D
195,C
196,D
197,B
198,B
199,C
200,D
201,D
202,B
203,C
204,D
205,B
206,A
207,B
208,B
209,B
210,B
211,D
212,C
213,B
214,D
215,A
216,A
217,C
218,B
219,D
220,A
221,C
222,D
223,B
224,D
225,D
226,C
227,D
228,A
229,C
230,A
231,A
232,A
233,C
234,B
235,D
236,D
237,D
238,D
239,C
240,C
241,D
242,B
243,B
244,A
245,B
246,A
247,D
248,C
249,A
250,B
251,C
252,D
253,A
254,C
255,D
256,B
257,D
258,D
259,C
260,B
261,A
262,A
263,D
264,D
265,D
266,D
267,C
268,B
269,C
270,B
271,A
272,D
273,A
274,C
275,C
276,B
277,A
278,A
279,C
280,A
281,B
282,C
283,A
284,A
285,C
286,A
287,A
288,D
289,C
290,A
291,D
292,B
293,A
294,C
295,B
296,C
297,B
298,B
299,B
300,A
301,A
302,C
303,C
304,C
305,D
306,D
307,B
308,C
309,D
310,A
311,A
312,C
313,C
314,A
315,C
316,C
317,A
318,C
319,B
320,D
321,B
322,D
323,A
324,D
325,C
326,B
327,B
328,C
329,D
330,C
331,B
332,C
333,D
334,C
335,A
336,C
337,A
338,D
339,D
340,D
341,D
342,D
343,A
344,B
345,D
346,D
347,D
348,A
349,A
350,C
351,A
352,C
353,C
354,A
355,A
356,C
357,C
358,C
359,C
360,D
361,C
362,C
363,D
364,C
365,D
366,D
367,B
368,D
369,C
370,C
371,C
372,A
373,D
374,C
375,B
376,B
377,A
378,A
379,D
380,B
381,C
382,A
383,D
384,A
385,D
386,B
387,B
388,A
389,D
390,C
391,C
392,A
393,B
394,C
395,C
396,A
397,A
398,D
399,A
400,A
401,C
402,D
403,C
404,A
405,A
406,B
407,C
408,C
409,D
410,A
411,C
412,C
413,A
414,D
415,B
416,D
417,C
418,B
419,D
420,C
421,A
422,C
423,D
424,D
425,D
426,A
427,A
428,C
429,A
430,A
431,B
432,B
433,B
434,A
435,D
436,D
437,A
438,B
439,A
440,B
441,B
442,A
443,C
444,A
445,B
446,A
447,C
448,A
449,B
450,D
451,D
452,D
453,B
454,D
455,D
456,D
457,A
458,C
459,A
460,B
461,D
462,B
463,D
464,B
465,D
466,C
467,B
468,A
469,B
470,B
471,B
472,C
473,D
474,B
475,A
476,C
477,C
478,A
479,A
480,C
481,B
482,A
483,A
484,D
485,B
486,C
487,D
488,B
489,B
490,D
491,D
492,A
493,B
494,D
495,D
496,D
497,C
498,A
499,D
500,C
501,A
502,B
503,D
504,A
505,B
506,A
507,B
508,B
509,D
510,C
511,A
512,D
513,A
514,C
515,D
516,A
517,A
518,B
519,B
520,C
521,B
522,B
523,D
524,A
525,A
526,D
527,A
528,C
529,A
530,A
531,B
532,C
533,D
534,C
535,A
536,C
537,A
538,A
539,D
540,B
541,B
542,A
543,C
544,A
545,B
546,D
547,A
548,A
549,A
550,D
551,A
552,D
553,D
554,D
555,A
556,D
557,D
558,A
559,D
560,D
561,D
562,B
563,A
564,A
565,C
566,A
567,A
568,B
569,D
570,D
571,B
572,C
573,C
574,B
575,B
576,B
577,A
578,D
579,A
580,B
581,B
582,A
583,B
584,D
585,A
586,D
587,B
588,D
589,A
590,D
591,D
592,B
593,A
594,C
595,C
596,D
597,C
598,D
599,C
600,C
601,B
602,B
603,B
604,D
605,C
606,D
607,B
608,C
609,D
610,D
611,D
612,A
613,A
614,B
615,C
616,D
617,D
618,A
619,D
620,B
621,B
622,D
623,B
624,A
625,A
626,D
627,D
628,C
629,B
630,D
631,A
632,D
633,A
634,B
635,D
636,A
637,A
638,D
639,C
640,B
641,C
642,C
643,A
644,B
645,B
646,D
647,D
648,A
649,C
650,B
651,D
652,C
653,A
654,C
655,C
656,B
657,B
658,C
659,C
660,A
661,C
662,C
663,D
664,D
665,C
666,D
667,B
668,D
669,D
670,D
671,C
672,D
673,C
674,D
675,A
676,B
677,D
678,A
679,A
680,A
681,D
682,D
683,D
684,C
685,D
686,C
687,D
688,D
689,A
690,C
691,B
692,C
693,A
694,A
695,D
696,B
697,D
698,D
699,D
700,B
701,D
702,B
703,C
704,A
705,C
706,C
707,D
708,A
709,C
710,A
711,C
712,A
713,D
714,B
715,C
716,B
717,D
718,A
719,B
720,C
721,A
722,D
723,B
724,C
725,D
726,B
727,A
728,C
729,C
730,C
731,B
732,D
733,C
734,D
735,D
736,A
737,B
738,D
739,A
740,B
741,C
742,A
743,D
744,C
745,B
746,B
747,A
748,D
749,C
750,B
751,B
752,D
753,C
754,C
755,C
756,D
757,B
758,D
759,B
760,D
761,D
762,B
763,A
764,C
765,D
766,A
767,C
768,A
769,C
770,D
771,B
772,C
773,D
774,A
775,A
776,B
777,A
778,B
779,C
780,D
781,D
782,C
783,D
784,C
785,B
786,C
787,A
788,B
789,A
790,D
791,A
792,D
793,D
794,D
795,C
796,C
797,C
798,D
799,D
800,C
801,A
802,B
803,C
804,D
805,C
806,D
807,A
808,A
809,B
810,C
811,C
812,A
813,D
814,B
815,A
816,C
817,B
818,B
819,A
820,A
821,C
822,A
823,A
824,B
825,A
826,D
827,A
828,B
829,C
830,A
831,D
832,B
833,C
834,C
835,B
836,B
837,C
838,A
839,D
840,C
841,C
842,D
843,B
844,B
845,C
846,A
847,D
848,C
849,B
850,D
851,B
852,C
853,A
854,A
855,D
856,B
857,B
858,B
859,C
860,A
861,B
862,B
863,D
864,C
865,C
866,D
867,A
868,A
869,B
870,B
871,C
872,A
873,D
874,C
875,D
876,C
877,C
878,D
879,D
880,D
881,A
882,A
883,B
884,B
885,B
886,B
887,B
888,B
889,C
890,C
891,A
892,C
893,B
894,A
895,C
896,D
897,A
898,A
899,C
900,A
901,A
902,A
903,D
904,C
905,C
906,D
907,D
908,D
909,D
910,D
911,B
912,D
913,A
914,B
915,B
916,A
917,A
918,A
919,D
920,C
921,D
922,D
923,A
924,B
925,C
926,D
927,D
928,D
929,B
930,A
931,A
932,A
933,B
934,D
935,C
936,B
937,B
938,C
939,D
940,C
941,C
942,A
943,B
944,B
945,C
946,B
947,C
948,C
949,A
950,A
951,D
952,A
953,B
954,B
955,A
956,B
957,A
958,D
959,D
960,D
961,C
962,A
963,B
964,D
965,A
966,B
967,D
968,B
969,D
970,C
971,B
972,B
973,A
974,B
975,B
976,D
977,D
978,C
979,A
980,C
981,A
982,A
983,D
984,D
985,C
986,A
987,C
988,C
989,C
990,D
991,B
992,D
993,B
994,B
995,D
996,A
997,C
998,A
999,C
1000,D
1001,B
1002,B
1003,D
1004,C
1005,A
1006,D
1007,D
1008,D
1009,A
1010,A
1011,C
1012,D
1013,A
1014,A
1015,A
1016,B
1017,B
1018,C
1019,D
1020,C
1021,B
1022,A
1023,D
1024,B
1025,C
1026,B
1027,C
1028,A
1029,B
1030,A
1031,D
1032,D
1033,A
1034,A
1035,A
1036,D
1037,C
1038,C
1039,D
1040,B
1041,C
1042,C
1043,A
1044,D
1045,C
1046,B
1047,C
1048,B
1049,D
1050,C
1051,A
1052,B
1053,D
1054,A
1055,D
1056,D
1057,A
1058,B
1059,D
1060,D
1061,B
1062,D
1063,D
1064,D
1065,A
1066,A
1067,D
1068,A
1069,C
1070,C
1071,D
1072,B
1073,D
1074,B
1075,B
1076,B
1077,C
1078,D
1079,D
1080,C
1081,A
1082,B
1083,A
1084,B
1085,A
1086,D
1087,A
1088,B
1089,C
1090,C
1091,A
1092,D
1093,D
1094,D
1095,C
1096,D
1097,A
1098,B
1099,B
1100,D
1101,B
1102,B
1103,A
1104,D
1105,C
1106,C
1107,B
1108,A
1109,B
1110,C
1111,A
1112,C
1113,D
1114,B
1115,C
1116,B
1117,C
1118,B
1119,A
1120,C
1121,B
1122,C
1123,C
1124,B
1125,A
1126,A
1127,D
1128,A
1129,A
1130,A
1131,C
1132,B
1133,B
1134,C
1135,A
1136,A
1137,C
1138,C
1139,D
1140,A
1141,A
1142,C
1143,B
1144,B
1145,B
1146,B
1147,D
1148,B
1149,C
1150,B
1151,D
1152,B
1153,D
1154,C
1155,C
1156,C
1157,D
1158,D
1159,D
1160,B
1161,A
1162,B
1163,C
1164,D
1165,B
1166,C
1167,A
1168,C
1169,A
1170,B
1171,D
1172,A
1173,D
1174,A
1175,D
1176,B
1177,B
1178,C
1179,B
1180,D
1181,B
1182,C
1183,C
1184,A
1185,B
1186,A
1187,D
1188,B
1189,C
1190,D
1191,D
1192,B
1193,D
1194,A
1195,A
1196,A
1197,C
1198,A
1199,A
1200,C
1201,A
1202,D
1203,D
1204,A
1205,A
1206,A
1207,A
1208,D
1209,D
1210,B
1211,C
1212,D
1213,B
1214,C
1215,C
1216,D
1217,A
1218,B
1219,C
1220,D
1221,D
1222,D
1223,B
1224,D
1225,D
1226,C
1227,D
1228,C
1229,B
1230,D
1231,A
1232,A
1233,B
1234,D
1235,C
1236,D
1237,B
1238,D
1239,C
1240,A
1241,B
1242,D
1243,A
1244,B
1245,D
1246,C
1247,A
1248,D
1249,D
1250,D
1251,B
1252,D
1253,D
1254,B
1255,B
1256,B
1257,A
1258,B
1259,B
1260,D
1261,A
1262,A
1263,B
1264,B
1265,D
1266,C
1267,A
1268,C
1269,A
1270,C
1271,D
1272,D
1273,A
1274,B
1275,D
1276,A
1277,D
1278,D
1279,C
1280,B
1281,D
1282,D
1283,A
1284,C
1285,B
1286,B
1287,D
1288,B
1289,C
1290,D
1291,C
1292,A
1293,B
1294,D
1295,B
1296,D
1297,C
1298,B
1299,D
1300,A
1301,D
1302,C
1303,D
1304,D
1305,A
1306,B
1307,C
1308,C
1309,D
1310,A
1311,A
1312,C
1313,A
1314,B
1315,D
1316,C
1317,D
1318,C
1319,C
1320,B
1321,D
1322,B
1323,C
1324,D
1325,C
1326,A
1327,C
1328,A
1329,B
1330,D
1331,B
1332,C
1333,B
1334,C
1335,B
1336,D
1337,B
1338,B
1339,A
1340,A
1341,C
1342,A
1343,B
1344,B
1345,D
1346,D
1347,A
1348,D
1349,A
1350,D
1351,A
1352,D
1353,A
1354,C
1355,B
1356,C
1357,B
1358,C
1359,A
1360,D
1361,D
1362,D
1363,A
1364,C
1365,A
1366,B
1367,B
1368,A
1369,B
1370,B
1371,A
1372,D
1373,A
1374,C
1375,C
1376,C
1377,A
1378,D
1379,B
1380,B
1381,A
1382,A
1383,A
1384,B
1385,A
1386,B
1387,D
1388,B
1389,B
1390,B
1391,C
1392,C
1393,A
1394,D
1395,C
1396,B
1397,B
1398,C
1399,A
1400,B
1401,C
1402,A
1403,A
1404,A
1405,A
1406,C
1407,D
1408,D
1409,B
1410,A
1411,A
1412,C
1413,B
1414,B
1415,A
1416,B
1417,D
1418,A
1419,A
1420,A
1421,C
1422,A
1423,B
1424,A
1425,B
1426,B
1427,D
1428,B
1429,A
1430,D
1431,C
1432,C
1433,B
1434,D
1435,A
1436,D
1437,D
1438,B
1439,A
1440,D
1441,C
1442,C
1443,B
1444,B
1445,A
1446,C
1447,D
1448,C
1449,A
1450,C
1451,D
1452,C
1453,C
1454,C
1455,B
1456,C
1457,D
1458,C
1459,B
1460,B
1461,B
1462,D
1463,A
1464,B
1465,B
1466,B
1467,D
1468,A
1469,D
1470,C
1471,D
1472,B
1473,C
1474,B
1475,A
1476,B
1477,B
1478,A
1479,B
1480,A
1481,B
1482,B
1483,B
1484,B
1485,C
1486,A
1487,A
1488,D
1489,A
1490,B
1491,D
1492,A
1493,C
1494,D
1495,D
1496,D
1497,D
1498,A
1499,B
1500,A
1501,D
1502,B
1503,C
1504,D
1505,B
1506,A
1507,B
1508,A
1509,C
1510,C
1511,A
1512,D
1513,D
1514,A
1515,A
1516,A
1517,C
1518,D
1519,C
1520,B
1521,C
1522,B
1523,B
1524,D
1525,D
1526,D
1527,B
1528,C
1529,A
1530,B
1531,D
1532,B
1533,D
1534,B
1535,C
1536,A
1537,D
1538,C
1539,B
1540,D
1541,B
1542,D
1543,B
1544,A
1545,C
1546,D
1547,D
1548,C
1549,C
1550,A
1551,D
1552,B
1553,C
1554,C
1555,A
1556,C
1557,D
1558,D
1559,C
1560,D
1561,B
1562,D
1563,A
1564,D
1565,A
1566,C
1567,D
1568,D
1569,B
1570,C
1571,A
1572,C
1573,C
1574,D
1575,D
1576,A
1577,C
1578,D
1579,C
1580,C
1581,C
1582,D
1583,B
1584,B
1585,B
1586,D
1587,B
1588,B
1589,B
1590,C
1591,B
1592,A
1593,B
1594,B
1595,A
1596,D
1597,B
1598,A
1599,B
1600,B
1601,D
1602,A
1603,C
1604,B
1605,A
1606,B
1607,B
1608,D
1609,C
1610,B
1611,D
1612,B
1613,D
1614,C
1615,A
1616,C
1617,A
1618,C
1619,C
1620,D
1621,A
1622,C
1623,B
1624,B
1625,A
1626,C
1627,B
1628,B
1629,B
1630,A
1631,C
1632,C
1633,A
1634,B
1635,D
1636,B
1637,B
1638,B
1639,A
1640,D
1641,A
1642,C
1643,D
1644,B
1645,D
1646,D
1647,D
1648,A
1649,B
1650,A
1651,D
1652,C
1653,D
1654,B
1655,A
1656,B
1657,A
1658,B
1659,B
1660,A
1661,B
1662,A
1663,B
1664,D
1665,B
1666,D
1667,A
1668,D
1669,B
1670,C
1671,C
1672,C
1673,C
1674,C
1675,C
1676,D
1677,B
1678,B
1679,A
1680,A
1681,A
1682,A
1683,D
1684,D
1685,C
1686,A
1687,B
1688,D
1689,D
1690,B
1691,C
1692,D
1693,B
1694,D
1695,D
1696,D
1697,D
1698,C
1699,D
1700,A
1701,D
1702,D
1703,B
1704,C
1705,B
1706,D
1707,B
1708,C
1709,B
1710,D
1711,B
1712,A
1713,D
1714,B
1715,A
1716,C
1717,C
1718,C
1719,D
1720,C
1721,D
1722,A
1723,D
1724,C
1725,A
1726,B
1727,D
1728,C
1729,C
1730,B
1731,A
1732,A
1733,A
1734,C
1735,A
1736,C
1737,C
1738,B
1739,D
1740,D
1741,B
1742,B
1743,D
1744,A
1745,A
1746,A
1747,D
1748,D
1749,A
1750,D
1751,B
1752,B
1753,D
1754,C
1755,A
1756,D
1757,B
1758,A
1759,D
1760,A
1761,A
1762,A
1763,A
1764,B
1765,A
1766,B
1767,A
1768,D
1769,D
1770,C
1771,A
1772,B
1773,A
1774,C
1775,A
1776,D
1777,B
1778,C
1779,C
1780,C
1781,D
1782,C
1783,C
1784,C
1785,C
1786,B
1787,C
1788,A
1789,B
1790,B
1791,C
1792,B
1793,B
1794,D
1795,C
1796,A
1797,C
1798,C
1799,A
1800,B
1801,A
1802,C
1803,D
1804,C
1805,C
1806,B
1807,C
1808,C
1809,C
1810,C
1811,C
1812,C
1813,B
1814,D
1815,C
1816,C
1817,A
1818,A
1819,C
1820,A
1821,D
1822,C
1823,B
1824,D
1825,D
1826,D
1827,A
1828,B
1829,D
1830,D
1831,A
1832,C
1833,B
1834,C
1835,B
1836,B
1837,C
1838,B
1839,B
1840,A
1841,D
1842,C
1843,C
1844,A
1845,C
1846,B
1847,B
1848,B
1849,A
1850,A
1851,C
1852,A
1853,D
1854,A
1855,A
1856,C
1857,D
1858,C
1859,C
1860,C
1861,D
1862,A
1863,B
1864,C
1865,C
1866,C
1867,A
1868,A
1869,C
1870,D
1871,A
1872,B
1873,C
1874,D
1875,B
1876,D
1877,A
1878,C
1879,A
1880,D
1881,A
1882,A
1883,C
1884,D
1885,B
1886,A
1887,A
1888,A
1889,C
1890,C
1891,D
1892,D
1893,A
1894,D
1895,B
1896,A
1897,C
1898,D
1899,D
1900,D
1901,A
1902,B
1903,A
1904,A
1905,D
1906,A
1907,B
1908,C
1909,C
1910,D
1911,C
1912,D
1913,A
1914,A
1915,C
1916,B
1917,A
1918,B
1919,D
1920,D
1921,B
1922,A
1923,D
1924,B
1925,A
1926,D
1927,C
1928,A
1929,B
1930,D
1931,C
1932,A
1933,B
1934,A
1935,C
1936,A
1937,C
1938,A
1939,D
1940,D
1941,C
1942,D
1943,D
1944,B
1945,D
1946,A
1947,D
1948,A
1949,B
1950,A
1951,C
1952,D
1953,A
1954,D
1955,A
1956,A
1957,C
1958,D
1959,B
1960,D
1961,C
1962,A
1963,A
1964,A
1965,A
1966,A
1967,D
1968,A
1969,B
1970,D
1971,B
1972,A
1973,D
1974,D
1975,D
1976,B
1977,D
1978,B
1979,C
1980,B
1981,D
1982,B
1983,D
1984,B
1985,D
1986,D
1987,C
1988,C
1989,C
1990,B
1991,A
1992,B
1993,C
1994,B
1995,A
1996,C
1997,C
1998,D
1999,B
2000,B
2001,B
2002,D
2003,C
2004,C
2005,A
2006,B
2007,B
2008,B
2009,B
2010,D
2011,C
2012,C
2013,C
2014,B
2015,B
2016,A
2017,C
2018,C
2019,C
2020,A
2021,A
2022,A
2023,D
2024,B
2025,A
2026,D
2027,D
2028,C
2029,C
2030,B
