,id,target
0,0,(C) merely a property of a certain kind of matter
1,1,"(A) In ancient Rome, religious worship was decentralized and tended to vary with one's social position."
2,2,"(D) The duke, as a member of the French nobility, supported King Louis's preservation of the aristocracy's social position and legal privileges, while he removed their power."
3,3,(B)
4,4,(C) the sense of continual class struggle
5,5,(C) the monetary value of goods
6,6,(C) Columbus's men were nicer to the natives than were later expeditions.
7,7,(C) the replacing of traditional laborers by machines in the industrialization of Britain in the eighteenth century
8,8,(C) Civic pride
9,9,(C) The Congress of Vienna
10,10,(A) Laissez-faire capitalism
11,11,(A) provoking fear to drive their readers to action
12,12,(A) observation and induction
13,13,(B) Financial gain
14,14,(D) was discredited by Germany's defeat in World War II
15,15,(C) Expertise with many kinds of weapons
16,16,(A) The Renaissance
17,17,(B) is the answer.
18,18,(D) Poland
19,19,"(C) It had been refined and changed by so many people that it had become unrecognizable to those such as Bacon who had pioneered it.

Bacon's method of empirical reasoning, as described in the passage, had undergone significant refinement and evolution by the 1800s. It had been built upon and developed by many thinkers, making it unrecognizable to those who had originally pioneered it."
20,20,(A) Placing his relatives on foreign thrones
21,21,"(A) (B) and (D) are not correct. The answer is (C) (based on the phrase ""we remember Auschwitz and all that it symbolizes because we believe that, in spite of the past and its horrors, the world is worthy of salvation; and salvation, like redemption, can be found only in memory"")."
22,22,(A)
23,23,(C) Accelerated the rediscovery of classical philosophy in Western Europe
24,24,(A)
25,25,(C) To end Dutch domination of maritime trade by limiting their ability to move goods between England and her colonies as well as goods to and from England from other countries
26,26,(A)
27,27,(B) Financial gain
28,28,(D) Napoleon's military tactics
29,29,(A) Nicolaus Copernicus
30,30,(A)
31,31,(D) They are the product of a less-civilized and less-developed civilization.
32,32,(D) Jean-Baptiste Colbert
33,33,(C) a restructuring of the socialist society of the Soviet Union was necessary in order to avoid a crisis
34,34,(D) it advocated total war
35,35,(D) Chartists
36,36,(C) Humanism
37,37,(C) Metternich's statement about the unity of monarchs alludes to the creation of the Concert of Europe.
38,38,"(A) Conservatism - Spencer's ideas align more with conservatism, as he believes in limited government intervention and the importance of individual responsibility."
39,39,(C) The proliferation of Enlightenment ideals.
40,40,(C) the discrediting of both conservative and liberal political ideology
41,41,(A) Welfare programs were questioned after the First World War.
42,42,"(A) A historian writing at the end of World War II might be inclined to look for, and find, the origins of perceived German belligerence."
43,43,"(B) materialism

Huxley's view, as presented in the passage, focuses on the physical and chemical aspects of life, which aligns with the ideology of materialism. Materialism posits that physical matter is the only fundamental substance and reality in nature, and that everything, including thought and consciousness, derives from it. Anarchism, conservatism, and romanticism do not accurately represent the ideas presented in the passage."
44,44,(A) The French Republic
45,45,"(A) Neoplatonism
(B) Antitrinitarianism
(C) Pietism
(D) **Rationalism**

The correct answer is (D) Rationalism. Erasmus' humanism involved promoting the use of reason and critical thinking, which aligns with the principles of Rationalism."
46,46,"(D) the development of new, specialized fields."
47,47,(A)
48,48,(A) that man was a unique kind of creature
49,49,"(B) Blamed Germany for World War I

The passage is quoting Georges Clemenceau's views, and he is blaming Germany for the events of World War I. He mentions the ""catastrophe of 1914,"" which refers to the start of World War I. Thus, (B) is the correct answer."
50,50,"(A) New sailing technologies like the compass and the astrolabe

The most crucial factor in European success in the New World was their superior sailing technologies, which included the compass and the astrolabe. These tools allowed Europeans to navigate more accurately and sail further distances than the indigenous populations, giving them a significant advantage. While weapons, ships, and education were also important, the ability to navigate and explore new lands was the foundation for European success in the New World."
51,51,"(D) Christianity served as a stimulus for exploration as governments and religious authorities sought to spread the faith and counter Islam, and as a justification for the physical and cultural subjugation of indigenous civilizations."
52,52,(C) Pursuing a policy of de-Christianization
53,53,(C) ascertaining the state of the New Philosophy in England and abroad
54,54,(D)
55,55,(A)
56,56,(B)
57,57,(D)
58,58,"(A) colonies

The options (B) spheres of influence, (C) protectorates, and (d) businesses are not correct in this context. The Treaty of Nanjing led to the creation of treaty ports, not colonies, spheres of influence, or protectorates. The treaty ports were territories within China where foreign powers had extraterritorial jurisdiction and control over trade, but they remained under Chinese sovereignty."
59,59,"(D) the Platonic/Pythagorean tradition

Copernicus was influenced by the Platonic and Pythagorean traditions, which believed in the mathematical harmony and symmetry of the universe. The idea of celestial bodies moving in perfect circles was a central tenet of these traditions."
60,60,"(C) Jean Baptiste Colbert, his finance minister"
61,61,(B) Rome became the head of an Italian kingdom.
62,62,(B) Materialism and economic determinism
63,63,(A) His domination of the nobility left him without friends and allies.
64,64,"(D) Munich Agreement (1938) is the answer that is most similar to the Molotov-Ribbentrop Pact, 1939. Both agreements are non-aggression pacts between two powers, with provisions for consultation and peaceful resolution of disputes."
65,65,(A) a difficult but necessary task
66,66,(B) The violent overthrow of the bourgeois by the proletariat
67,67,(C) an inevitable result of fundamental economic change
68,68,(D) the potential of the human being is unlimited
69,69,(A)
70,70,(A) That true political power lay elsewhere. Tricky one! The Queen's reliance on Lord Melbourne for political advice and her concern about fatigue from social engagements suggest that political power was not centralized with the monarchy.
71,71,(C) It used information obtained through experimentation to conceptualize the universe.
72,72,"(C) women held considerable power and responsibility within the domestic sphere of social life

Isabella Beeton's Book of Household Management places a strong emphasis on the role of the ""mistress of the house"" and her responsibilities in managing the household duties. This passage highlights that the woman's duties and responsibilities in the domestic sphere significantly impact the well-being and happiness of the family. Therefore, it can be inferred that Beeton believed that women held considerable power and responsibility within the domestic sphere of social life."
73,73,(C) The Berlin blockade
74,74,(A) The social effects of industrialization
75,75,(D)
76,76,"(C) The emancipation terms relegated former serfs to communal farming, thus keeping them in perpetual poverty, and made wealthy conservatives nervous."
77,77,(B) The dissemination of liberal ideas by the media and the sharing of nationalist or liberal ideas at the university in the classroom or in secret.
78,78,(D)
79,79,"(A) would be the most likely answer. Being in Switzerland and other places in the West would have given Lenin the opportunity to see and learn about the industrialization of those countries, which could have influenced his desire to industrialize the Soviet Union."
80,80,(A) The consolidation of the power of the monarchy
81,81,"(B) Jean-Jacques Rousseau

While Voltaire and Rousseau were both Enlightenment thinkers, they held different views on many subjects. However, in this specific context, Voltaire's critique of optimism, as represented by Dr. Pangloss, shares similarities with Rousseau's criticisms of the society and the ""state of nature."" Rousseau's ideas often focused on the corruption and negative aspects of society, which can be seen as a critique of optimistic views of the world. The other philosophers listed (A, C, D) do not have the same critical stance on optimism as Voltaire and Rousseau."
82,82,"(C) Francisco Pizarro
The motivations of the unnamed conquistador in the text are most similar to those of Francisco Pizarro, who is also known for his conquest of the Inca Empire in South America and the subsequent distribution of the acquired wealth among his men. The other options, Christopher Columbus, Vasco de Gama, and Bartholomew Dias, had different motivations and areas of exploration."
83,83,(D) Anabaptists
84,84,(C) constitutionalism
85,85,(D) The concept that salvation comes from faith alone rather than through good works is supported.
86,86,(C) general rejection of Catholic dogma
87,87,(B) People could begin to question the Church on a wider scale.
88,88,"(A) (B) would not directly lead to Huizinga's support of Erasmus' belief. (C) is possible but not necessarily the primary reason. (D) is not the most accurate answer. Therefore, (A) is the best answer."
89,89,"(D) Darwin, because the account of the Paris Exposition is focused on the study of anthropology, comparative anatomy, and biology, and Darwin's work on evolution and natural selection had a significant impact on these fields. (A) Einstein and (B) Planck are known for their contributions to physics, and (C) Nobel is known for establishing the Nobel Prizes, but none of them had a significant impact on anthropology or comparative anatomy during the time of the Paris Exposition."
90,90,(B) They were subjugated and destroyed.
91,91,(C) the steam engine
92,92,"(A)
The speech by Vladimir I. Lenin excerpted refers to the need to develop industry and modernize agriculture in order to ensure the survival of the socialist regime in the Soviet Union. This critique is aimed at the New Economic Policy (NEP), which allowed for some free market mechanisms in rural areas. Therefore, option (A) is the correct answer."
93,93,(D) Religious toleration should be given to all people of all religions.
94,94,(C)
95,95,(A) A reminder of the responsibility of advanced civilizations to bring the benefits of modern civilization to less-developed peoples
96,96,"(B) the attempt by the Soviets to form an alliance with Britain and France had failed

Explanation: The Molotov-Ribbentrop Pact was a non-aggression treaty between Nazi Germany and the Soviet Union that was signed in August 1939. The Soviet Union was motivated to create this agreement because their attempts to form an alliance with Britain and France had failed. The Soviets wanted to gain security and territorial expansion, and the pact provided them with both by allowing them to regain territories lost in the First World War and to expand their influence in Eastern Europe. The other options are not accurate reasons for the Soviet Union's motivation to create the agreement."
97,97,(B) the Balkan Question and the Triple Alliance
98,98,(D) Conservatism
99,99,(A) They initiated an armed resistance against Western interests in Northern China.
100,100,"(B) The French Revolution of 1789 to 1793

The event that Marx and Engels would be most inclined to view as a significant development in European history is the French Revolution of 1789 to 1793. This revolution marked a significant shift in the class structure of French society and led to the rise of the bourgeoisie as a powerful political force. It also inspired similar revolutions and uprisings across Europe, leading to the establishment of new classes and new forms of struggle. The War of the Roses, The Seven Years' War, and Britain's Glorious Revolution of 1688 did not have the same impact on the class structure and class struggles in Europe as the French Revolution."
101,101,(D) Challenges to the monopoly on truth held by the Roman Catholic Church on multiple fronts
102,102,(B) that the Catholic Church should exist in France
103,103,(C) Mercantilism
104,104,"(B) The Communist Manifesto, by Marx and Engels"
105,105,(A)
106,106,(B) intended for Protestants to be able to live peacefully in his kingdom.
107,107,(A) Salvation
108,108,(C) The Enlightenment
109,109,(D) it tries to exercise absolute power
110,110,(A) Europeans established overseas colonies on the coasts of the Americas and throughout the continent of Africa. This answer is not correct because the prompt specifically asks for a result of the European conquest of the Americas that was not realized by the end of the seventeenth century. The establishment of colonies in the Americas and Africa occurred during this time period.
111,111,(A)
112,112,"(B) They utilized new methods of communicating their ideas, such as salons and inexpensive printed pamphlets."
113,113,(D) Neoplatonism
114,114,(C) drawing universal conclusions from a wide range of concrete data
115,115,(A) Humanism
116,116,(A)
117,117,"(D) The manifesto, although emancipating the serfs, saddled them with financial responsibilities and other restrictions, while the aristocracy retained too many of their former rights."
118,118,(C) the spread of religious skepticism among the educated elite of Britain in the eighteenth century
119,119,"(A) Lingual
(B) Religious
(C) Economic
(D) Artistic

The answer is (A) Lingual, as the author mentions the wiping out of the very name of Sicily and the fact that Sicily is no longer even a geographical expression."
120,120,(A) revamped the economy of the new French Republic
121,121,(A)
