"ID","Predict"
"0","Amends the Water Resources Development Act of 1992 to authorize the Secretary of Water Resources Development Act"
"1","Federal Forage Fee Act of 1993 - Amends the Federal Water Pollution Control Act"
"2","Merchant Marine of World War II Congressional Gold Medal Act - Directs the Speaker of the"
"3","Small Business Tax Modernization Act of 2004 - Amends the Internal Revenue Code to:"
"4","Fair Access to Investment Research Act of 2016 This bill directs the Securities and Exchange Commission to propose"
"5","Prescription Drug Monitoring Act of 2016 This bill directs each covered state to require each prescription prescription"
"6","Strategic Gasoline and Fuel Reserve Act of 2005 - Amends the Energy Policy and"
"7","newborn Agent Scott K. Carey Public Safety Officer Benefits Enhancement Act - Amend"
"8","Promote Financial Literacy and Economic Opportunity Act of 2015 This bill amends the Internal Revenue Code to"
"9","Amends the Tariff Act of 1930 to require the United States responsible for collecting such certification"
"10","Outer Continental Shelf Revenue Sharing Act of 2005 - Amends the Outer Continental Shelf"
"11","Developmentmental Disabilities Assistance and Bill of Rights Act Amendments of 1993 - Amend"
"12","Amends the Higher Education Act of 1965 to require the Secretary of Education to issue regulations to"
"13","Robss S. Walker and George E. Brown. Jr. Hydrogen Energy Act of"
"14","Mercury Health Advisory Act of 2003 - Authorizes the Secretary of Health and"
"15","Amends the Atomic Energy Act of 1954 to enter into 1- or more long-term"
"16","Health Care Fraud Prevention and Paperwork Reduction Act of 2000 - Establishes the"
"17","State Innovation Pilot Act of 2011 - Amends the Elementary and Secondary Education Act of 1965"
"18","No Second Chances for Murderers. Rapics. or Child Molesters Act"
"19","Amends the Internal Revenue Act to: (1) establish a qualified historic property."
"20","Contitizens To Our Nonprofits Act of 2016 This bill amends the Internal"
"21","Reduce Expenditures as Nuclear Infrastructure Now Act or theREIN-IN Act"
"22","Amends the Internal Revenue Code to allow the presidential election cycle."
"23","Clinical Laboratory Compliance Improvement Act of 2004 - Amends title II (Medicare) of"
"24","Amends the Internal Revenue Code to require the Department of Commerce (IRA) to establish"
"25","United States-Afghanistan Status of Forces Agreement (SOFA) Act of"
"26","Amends the Federal criminal code to require the Secretary of Veterans Affairs to implement a system"
"27","Enduring Defense Support to catastrophic Incident Response Act of 2008 - Am"
"28","Energy Security Act of 2011 - Establishes the National Energy Security Council to coordinate the activities"
"29","Return of Talent Act - Amends the Immigration and Nationality Act to require the Secretary"
"30","Amends Federal law to authorize the Secretary of Education to: (1) provide educational assistance for such"
"31","Strategicegic SetsCountment Act of 2018 orSWAMP Act - Require"
"32","Minority Business Development Improvements Act of 2010 - Directs the Director of the Minority"
"33","Climate Change Drinking Water Adaptation Research Act - Directs the Administrator of the Environmental"
"34","Amends the Internal Revenue Code to allow the deduction of tax deductions for corporations."
"35","Center for the Study of Women and Workplace Policy (CDC) to compile and analyze available"
"36","Small Business Access to Capital Act of 2009 - Amends the Small Business Investment Act of"
"37","National Commission on Fairness of the Workplace Act - Establishes the National Commission on"
"38","Propane Education and Research Act of 1993 - Directs the Secretary of Energy to conduct"
"39","Renewable Energy Act for Credit on Taxes - Amends the Internal Revenue Code to"
"40","Citizens Improvement Act - Requires the Secretary of Commerce to review and report to Congress"
"41","Electonic Campaign Disclosure Act of 1998 - Amends the Federal Election Campaign Act of 1971"
"42","Pharmacy Products Price Equity Act - Directs the President to issue such orders and regulations. and"
"43","Prepaid Card Consumer Protection Act of 2010 - Amends the Electronic Fund Transfer Act to"
"44","Appalachian Regional Development Act Amendments of 2002 - Amends the Appal"
"45","Amends Federal Civil Air Patrol (Air Patrol) to: (1) provide the Air Force role"
"46","Removal of Terrorist Criminal Aliens Act of 2003 - Amends the"
"47","Tinage Pregnancy Reduction Act of 1996 - Directs the Secretary of Health and"
"48","Children's Bicycle Helmet Safety Act of 1993 - Directs the Consumer"
"49","Electronic Employment Verification Reauthorization Act of 2008 - Amends the II"
"50","Small-dollar consumer credit transaction. Amends the Electronic Fund Transfer Act to authorize the Bureau"
"51","National Advisory Commission on Tax Reform and Simplification Act of 2001 - Establishes the"
"52","Amends the Foreign Assistance Act of 1961 to direct the President to submit to the appropriate committee"
"53","Veterans Health Care Facilities Capital Improvement Act of 2011 - Amends the Veterans Benefits."
"54","Sportsmen's Bill of Rights Act - Amends the Federal Aid to provide"
"55","Veterans Construction Authorization and Expiring Authorities Extension Act of 2012 - Authorizes the"
"56","Selected Reserve Home Loan Equity Act - Amends the Federal criminal code to authorize the"
"57","Native American $1 Coin Act - Amends Federal criminal code to provide the creation of Indian"
"58","Counter Errors in Credit Use and Reporting Act or the SECURE Act "
"59","Rural Rental Housing Act of 2003 - Authorizes the Secretary of Housing (DHS)"
"60","Telecommunications Economic Opportunity Act of 1995 - Directs the Commission to require each provider of"
"61","ARC/RAF-Americans Congressional Gold Medal Act - Directs the Speaker of the"
"62","Appalachian Regional Commission Reform Act - Authorizes the Commission to: (1) regional"
"63","New Aid for Trustworthy. Affordable Drugs Act (NAFTA Drugs Act (NA"
"64","Medial Valley Desert Conservation and Recreation Act - Establishes the Vinagre Wash Special"
"65","Workplace Employee Stock Option Act of 2002 - Amends the Internal Revenue Code to allow"
"66","Climate Change Investment Act of 2006 - Amends the Internal Revenue Code to allow the Corporation"
"67","Firefighter Assistance Act of 2001 or the SAFER Act of 2001 - Amends"
"68","Competitiveness Tax Credit Act - Amends the Internal Revenue Code to allow the manufacture and"
"69","Keep Americans Working Act - Amends the Internal Revenue Code to require employer to certify"
"70","Prescription Drug Fairness for Seniors Act of 1998 - Directs the Secretary of Health"
"71","Energy Freedom and Economic Prosperity Act - Amends the Internal Revenue Code to repeal"
"72","TABLE OF CONTENTS Act of 1998 - Amends the Public Health Service Act"
"73","Budget Appropriations Act - Amends the Congressional Budget Act of 1974 to"
"74","Pointasoriatic Arthritis Research. Cure. and Care Act of 2011"
"75","National Commission for the New National Goal: Advancement of Global Health Act - Establishes"
"76","Veterans Mobility Safety Act of 2016 This bill amends the Federal criminal code to require the Secretary of"
"77","Home and Disabled Americans Criminal Protection Act of 1998 - Authorizes the Attorney General"
"78","Amends Federal criminal code to authorize the Secretary of the Interior to: (1) allow the enforcement"
"79","Weapons Prohibition Act of 1993 - Amends Federal criminal code to prohibit the"
"80","Small Business Procurement Assistance Act of 1993 - Amends the Small Business Act to"
"81","Open Our Democracy Act of 2014 - Directs the Secretary of the House of Representatives to"
"82","Twenty-First Amendment Enforcement Act - Amends the Act to require the attorney General to"
"83","Natural Gas Reserve Act of 2001 - Amends the Energy Policy and Conservation Act to direct"
"84","Technewology for the Classroom Act of 1993 - Directs the Secretary of Education to award"
"85","Financial Education Act - Amends title XVIII of the Social Security Act to"
"86","Federal Strategic SOurcing Vehicles. Requires the Federal Acquisition Regulation to require"
"87","Biodiesel Energy Development Act of 1997 - Amends the Energy Policy and Conservation"
"88","Air Travelers Fair Treatment Act of 2001 - Amends Federal aviation aviation transportation provisions to"
"89","Medicare Fraud Enforcement and Prevention Act of 2013 - Amends title XVIII"
"90","Education Tax Credit Simplification Act of 2004 - Amends the Internal Revenue Code to allow"
"91","Interior Reform and Savings Act of 1993 - Amends the Helium Act Amendments"
"92","Academic and Reward Future Math and Science Teachers of America Act of 2000 - Amends"
"93","Rural Subsidy Reduction Act of 1996 - Amends the Reclam"
"94","Hospital Price Disclosure Act of 2005 - Ambulatory Surgical Centers for Certain Confpatient"
"95","Preserving Equitable Access to Community-based Home Health Act of 2009 - Amend"
"96","Long Island Sound Stewardship Act of 2004 - Establishes the Long Island Sound Ste"
"97","Strengthening the Transition and Reintegration of the National Guard and Reserves Act or the"
"98","Medicare Cash and Counseling Program Act of 2005 - Amends title II (Medicaid"
"99","Manhattan Project National Historical Park Act - Establishes the Manhattan Project National Historical Park. Re"
"100","Ghanaistan and Central Asian Republics Sustainable Food Production Act of 2001 - Directs the"
"101","Radio Broadcasting Preservation Act of 2000 - Directs the Federal Communications Commission (FCC"
"102","Military Readiness Enhancement Act of 2010 - Amends the National Defense Authorization Act"
"103","Selling Main Street FIRST Act or the Put Main Street FIRST Act or the Put Main Street FIRST Act"
"104","Amends the Internal Revenue Code to allow the person who on the credit allowance. Requi"
"105","First Responders Support Act of 2008 - Amends the Omnibus Crime Control and Safe"
"106","Turkish Human Rights Act - Requires the Secretary of State to: (1) the Government"
"107","Millrobicide Development Act - Directs the Secretary of Agriculture to: (1) ensure that mothers"
"108","Environmental Finance Act of 1995 - Directs the Administrator of the Environmental Protection Agency to establish an"
"109","Strength Terrorists Prosecution Act of 2006 - Amends the Military Commission"
"110","Protectting Consumer Phone Records Act - Authorizes the Secretary of Commerce (FCC)"
"111","Amends the Federal criminal code to: (1) provide the veteran's death. Requi"
"112","National Oceanic and Atmospheric Administration Atmospheric and Satellite Program Author"
"113","Amends the Internal Revenue Code to prohibit the program to be excluded from taxes imposed by"
"114","Patient Care Act of 2007 - Amends the Federal criminal code to require the Attorney General"
"115","TraDe Accountability Study Act - Establishes the TraDe Impact Review Commission to:"
"116","Animal Disease Risk Assessment. Prevention. and Control Act of 2001 - Authorizes the Secretary"
"117","Department of Veterans Affairs Information Security Protection Act - Amends Federal criminal code to authorize the"
"118","College Literacy in Finance and Economics Act of 2011 or the college LIFE Act -"
"119","Amends title XVIII (Medicare) of Medical Equipment and Supplies (MG"
"120","Fusion Energy Research Authorization Act of 1994 - Directs the Secretary of Energy to carry out"
"121","Native American Agricultural Research. Development and Export Enhancement Act of 2000 - Authorizes"
"122","High School Sports Information Collection Act of 2009 - Amends the Education Sciences Reform Act of"
"123","Veterans Refugee Assistance Act - Directs the Secretary of Homeland Security (DHS) to"
"124","Educational and Secondary School Counseling Improvement Act of 2001 - Amends the Elementary and Secondary"
"125","Veterans Faith in Veterans Act of 2008 - Amends the Federal criminal code to require covered"
"126","Borderficiary Access to Care Act of 2003 - Amends title II (Medic"
"127","Geneerating American Income and Infrastructure Now Act - Directs the Secretary of Agriculture to sell"
"128","National Youth Summer Jobs Act of 2011 - Directs the Secretary of Labor to award competitive grants"
"129","Freedom from Equifax Exploitation Act - Amends the Fair Credit Reporting"
"130","Medicare Pharmacist Services Coverage Act of 2001 - Amends title II (Medic"
"131","Gun Show Background Check Act of 2008 - Amends the Federal firearms licensees"
"132","Reducing Barriers to Veterans' Benefits Act - Amends the Federal criminal"
"133","Amends the Internal Revenue Code to allow the credit for alcohol Used to produce any ether"
"134","Copper Cleanup Taxpayer Protection Act - Amends the Surface Mining Control and Re"
"135","Civil Rights Act of 1964 Commemorative Coin Act - Directs the Secretary of the Treasury"
"136","Pension Plan Participant Protection Act of 1998 - Amends the Employee Retirement Income Security Act"
"137","Campaign Student for ENrichment. Strength. and Success Act or the Protecting SUCC"
"138","United Nations Oil-for-Food Accountability Act of 2004 - Directs the President submit"
"139","RettungsF Recipients' Lifeline Act - Amends title IV (O"
"140","NSA Internal Watchdog Act - Amends the Inspector General of the National Security Agency ("
"141","Medicare Ambulance Access.fraud Prevention. and Reform Act of 2014 - Amend"
"142","Displaced Older Worker Assistance Act of 2001 - Amends the Internal Revenue"
"143","Directs the Secretary of Homeland Security (DHS) to establish the Overstay rate for the"
"144","Fairm Disclosure Act of 1993 - Amends the Lanham Act to provide for the"
"145","Health Care Safety Net Act of 2008 - Amends the Public Health Service Act to authorize"
"146","Strengthen And Fortify Existing Bridges Act of 2013 or the SAFE Bridges Act"
"147","Counterfeiters Act - Amends the Foreign Assistance Act of 1961 to require"
"148","Restricted Weapons Act of 1993 - Amends the Federal criminal code to"
"149","Development Resources Immediately and Long-Term through Leases on Our Nation's Offshore Water"
"150","Apprenticeship and Jobs Training Act of 2014 - Amends the Internal Revenue Code"
"151","Retirement Account Distribution Improvement Act of 2008 - Amends the Internal Revenue Code to allow an"
"152","Academic Disaster Relief Corps Act of 2005 - Establishes the AmeriCorps"
"153","Amends the Federal criminal code to improve the provision of health-care services and related counseling"
"154","Recovery Through Building Renovation Act of 2010 - Amends the Energy Policy Act of"
"155","Golden Gate National Park Act of 1988 to establish the Golden Gate National Recreation Area to: (1) enter"
"156","Children's Hospital GME Support Reauthorization Act of 2006 - Amends"
"157","Miners Pension Protection Act - Amends the Surface Mining Control and Reclamation Act"
"158","Veterans Information and Benefits Enhancement Act of 2003 - Amends the Federal criminal code"
"159","Refinancing Education Funding to Investing to Investing to Invest"
"160","Energy-Efficient Cool Roof Jobs Act - Amends the Internal Revenue Code to"
"161","Offshore Fracking Transparency and Review Act of 2015 This bill directs the Secretary of"
"162","Anti-Corruption Act of 1995 - Amends Federal law to require the Secretary of"
"163","Long Innovation and Coastal Protection Act of 1993 - Amends the National Flood Insurance Act"
"164","Lead-Safe Housing for Kids Act of 2016 This bill amends the Residential Lead-Based Paint"
"165","Uranium Resources Stewardship Act or theURSA - Amends the Mineral"
"166","Preventing Tragedies Between Police and Communities Act of 2016 This bill requires the State or"
"167","Amends the Endangered Species Act of 1973 to direct the Secretary of the"
"168","Federal Propaganda Prohibition Act of 2005 - Amends Federal law to"
"169","National Urban Search and Rescue Response System Act of 2007 - Amends the Robert T."
"170","Confederate Commemorative Works Inventory and Joint Resource Study Act - Directs the Secretary"
"171","Make Education Local Act of 2018 This bill authorizes States to submit to the Secretary a State"
"172","Republic Form of Government Guarantee Act - Amends the Federal criminal code to require the Secretary"
"173","VA Vision Scholars Act of 2007 - Amends the Federal criminal code to establish and"
"174","Orange National Ambient Air Quality standard Deadline Harmonization Act of 2015 This bill amends the"
"175","Department of Energy Laboratory Modernization and Technology Transfer Act of 2015 This bill directs the Department of"
"176","United States-Macau Policy Act of 1999 - Directs the Secretary of the Congress to"
"177","Federal Spectrum Incentive Act of 2013 - Amends the National Telecommunications and"
"178","Construction Quality Assurance Act of 2009 - Requires an executive agency for the procurement"
"179","Endangered Species Communities Advisory Board Act of 1995 - Amends the"
"180","Freedom to Mourn of Peace Act of 2011 - Amends the Federal criminal code"
"181","Sexual Offender Registration Tips Program Act of 2009 or the SORT Act of 2009 - Re"
"182","Helping to Encourage Real Opportunities (HERO) for At-Risk Youth Act -"
"183","Amends the National Aerospace Plane Program. Limits the assumption of the congressional congressional"
"184","International Development Act of 1994 - Amends the Bretton Woods Agreements Act to"
"185","Foreign Business Bribery Prohibition Act of 2016 This bill amends the Foreign Corrupt"
"186","Veterans' Health Care Policy Enhancement Act of 2008 - Amends Federal criminal code to"
"187","Emergency Drought Relief Act of 1998 - Amends the Agricultural Market Transition Act"
"188","Educational Empowerment Act - Amends the Internal Revenue Code to establish the Secretaries"
"189","Cyber Defense of Federal Networks Act of 2015 This bill amends the Homeland Security Act of 2002"
"190","Save America's Utility Infrastructure and Secure America Now Act of 2008 - Amends the"
"191","Preserve Rights of States and Political subdivisions to Encourage Retirement Savings Act or thePRO"
"192","Amends the Technical and Miscellaneous Revenue Act of 1988 to authorize the corporation to"
"193","Medicare Part D Drug Class Protection Act of 2007 - Amends title IV (Medicare"
"194","Connect with Veterans Act of 2014 - Directs the Secretary of Veterans Affairs to establish a"
"195","Safe NOW Act of 2006 - Establishes the National Sex Offender Risk Class"
"196","Sport Agent Responsibility and Trust Act - Authorizes the athlete of athlete enter into an agency"
"197","Social Security Administration Accountability Act of 2012 - Amends title II (Medicare)"
"198","Emergency Port of Entry Personnel and Infrastructure Funding Act of 2007 - Directs the Secretary"
"199","Mark O. Hatfield-Elizabeth Furse Scholarship and Excellence in Tribal"
"200","Volunteer Integrity and Data Improvement Act - Amends title IV (Medicare) of"
"201","Energy Productivity Innovation Challenge Act of 2015 or the EPIC Act of 2015 This bill directs"
"202","Small Company Capital Formation Act of 2011 - Amends the Securities Act of 1933 to require"
"203","Federal Election Integrity Act of 2004 - Amends the National Voter Registration Act of"
"204","Patient Protection and Affordable Care Act or theFREE Act - Amends the Patient Protection"
"205","Economic Growth and Stabilization Financing Demonstration Act 1994 - Author"
"206","Lawechman Ovarian Cancer Commemorative Coin Act - Directs the Secretary of"
"207","Federal Facilities Clean Water Compliance Act of 1993 - Amends the Federal Water Pollution Control"
"208","Amends the Brady Handgun Violence Prevention Act to require the Attorney General to extend a"
"209","Department of Veterans Affairs Major Medical Facility Lease Authorization Act of 2013 - Authorizes the"
"210","Protecting Homes. Small Businesses. and Private Property Act of 2005 - Directs the power"
"211","Safe Highways and Infrastructure Preservation Act of 1997 - Amends the Surface Transportation Assistance Act"
"212","Employment Opportunity and Infrastructure Improvement Act of 1994 - Amends the Job Training Partnership Act to"
"213","Preventing Overdoses While as emergency Departments Act of 2018 This bill directs the"
"214","Truth Cost of War Act of 2011 - Directs the President to make estimates and projections"
"215","Minority National Security Scholarship Act of 2002 - Directs the Secretary of Education to establish"
"216","Native Natives Authorization Act of 2017 This bill amends the Alaska Native Claims Settlement Act"
"217","Child Care Lending Pilot Act of 2003 - Amends the Small Business Investment Act of"
"218","Unitedstanding the True Cost of College Act of 2012 - Amends the Higher Education Opportunity"
"219","Federal Refinancing for American Families Act of 2012 - Directs the Federal"
"220","Age Discrimination Act of 2001 - Authorizes the Supreme Court to prohibit States From"
"221","Rural Veterans Health Care Access Act of 2007 - Directs the Secretary of Veterans Affairs to establish"
"222","Expand School Meals Act of 2009 - Amends the Richard B. Russell National School"
"223","Chesapeake Bay Program Reauthorization and Environmental Accountability Act of 2005 -"
"224","Amends the Federal criminal code to: (1) authorizes the Secretary of Veterans Affairs to furnish"
"225","Administrative Procedure Act - Directs the Federal Communications Commission (FCC) to conduct a"
"226","State and Local Government Economic Empowerment Act - Directs the Secretary of Commerce to issue"
"227","Methetamine Awareness and Prevention Act of 2006 - Amends the Public Health Service"
"228","Amends the Federal Emergency Management Agency (FSEA) to review and make recommendations for health"
"229","Suburban and Community Forestry and Open Space Initiative Act of 2001 - Amends the"
"230","Hand Unrestricted on National Treasures Act or the HUNT Act - Direct"
"231","Korean Counterterrorism and Nonproliferation Act - Requires the Secretary of State"
"232","Displaced Aircraft Manufacturers Workers Relief Act of 2001 - Directs the Secretary of"
"233","Advanced Accountability Act of 2000 - Directs the Administrator of the National Academy of Sciences to"
"234","Education for Democracy Act - Amends the Elementary and Secondary Education Act of 1965 to authorize"
"235","San Bernardino National Forests Protection Act - Directs the Secretary of Agriculture tocontinu"
"236","Indian Equal Justice Act - Amends the Tucker Act to require the District courts of the"
"237","Family Improvement Act of 1994 - Amends the National Housing Act to require the Secretary of"
"238","Medical Services Patient Safety. Protection. and Coordination Act - Amends Federal aviation aviation"
"239","Human Tissue for Transplantation Act of 1993 - Amends the Federal Food."
"240","Energy Alternatives for Energy Independence Act of 2005 - Amends the Energy Policy Act of"
"241","Airport Security Act of 2010 - Amends Federal aviation Administration (DHS) to"
"242","Fired Asset Relief Act of 2015 This bill amends the Internal Revenue Code to allow the deduction"
