"ID","Predict"
"0","Amends the Water Resources Development Act of 1999 to require the Secretary of Health and Human Services to establish a Project cooperation agreement for the Comite River Diversion Project to include the provision that specifies that any reduction in the non-federalshares for Jackson County. Mississippi."
"1","Federal Forage Fee Act of 1993 - Amends the Federal Land Policy and Management Act to require the Secretary of Agriculture to declares that: (1) the public lands are producing and continuing to produce water and soil conservation benefits. livestock forage and recreation and other multiple use opportunities; (2) rangelands shallcontinu to be stabilized and improved long term by providing for cooperative agreements. private. public partnerships and flexibility in management programs and agreements; and (2) ensure sound management and stewardship of the renewable resources."
"2","Merchant Marine of World War II Congressional Gold Medal Act - Directs the Speaker of the House of Representatives and the President pro tempore of in the Senate to make appropriate arrangements for the award. Requires a gold medal with suitable emblems. devices. andinscriptions to be determined by the Secretary to: (1) strike the Gold medal of appropriate design to the U.S. merchant Marine in recognition of their dedicated and vital service during Worldwar II; and (2) the United States merchant marine as well as both military and civilian personnel."
"3","Small Business Tax Modernization Act of 2004 - Amends the Internal Revenue Code to: (1) exclude a tax tax regime for any taxable year beginning after December 31. 2004. Requires voters to be treated as an electing unified pass-thru regime."
"4","Fair Access to Investment Research Act of 2016 This bill directs the Securities and Exchange Commission to propose. and not later than the end of the 180-day period beginning on the date of enactment of this Act. Requires investment fund research report that is published or distributed by a broker or dealer. Sets forth requirements for the protection of investors."
"5","Prescription Drug Monitoring Act of 2016 This bill requires each covered state to require each prescribing practitioner within the covered State or their designee. who shall be licensed or registered healthcare professionals or other employees who report directly to the practitioner. to consult the PDMP of the covering state before initiating treatment for a controlled substance listed as schedule II. III. or IV of this Act. Directs the Attorney General. in coordination with the Secretary of Health and Human Services."
"6","Strategic Gasoline and Fuel Reserve Act of 2005 - Amends the Energy Policy and Conservation Act to require the Secretary of Energy to establish. maintain. and operate a Strategic gaso line and fuel Reserve established under part B. Requires this Act."
"7","Speial Agent Scott K. Carey Public Safety Officer Benefits Enhancement Act - Amends the Omnibus Crime Control and Safe Streets Act of 1968 to require the Bureau to pay an annual pension to each or more survivors of the deceased public safety officer."
"8","Promoing Financial Literacy and Economic Opportunity Act of 2015 This bill amends the Internal Revenue Code to allow an eligible for profit organization. for purposes of the excellence in economic education credit."
"9","Amends the Tariff Act of 1930 to prohibit any person who holds a waiver of any sovereign immunity of the State or local government or an Indian tribe against anyunconsented lawsuit."
